cell_id,lac,mnc,latitud,longitud,fecha,observacion,operador
7237163,37800,3,-17.400511,-66.173752,2021-06-21 18:48:53.171782,ninguna,
20516100,47461,3,-17.405675,-66.177895,2021-06-21 18:48:53.171691,ninguna,
20504581,47460,3,-17.398793,-66.182295,2021-06-21 18:48:53.171600,ninguna,
10255365,44401,2,-17.406137,-66.165497,2021-06-21 18:48:53.171509,ninguna,
10268933,44401,2,-17.399136,-66.174128,2021-06-21 18:48:53.171420,ninguna,
10249989,44401,2,-17.399752,-66.180923,2021-06-21 18:48:53.171330,ninguna,
7247203,37800,3,-17.400919,-66.173249,2021-06-21 18:48:53.171240,ninguna,
14001,27461,3,-17.400385,-66.172173,2021-06-21 18:48:53.171150,ninguna,
14203,27461,3,-17.400385,-66.172173,2021-06-21 18:48:53.171061,ninguna,
14243,27461,3,-17.400385,-66.172173,2021-06-21 18:48:53.170971,ninguna,
24203,27461,3,-17.400385,-66.172173,2021-06-21 18:48:53.170879,ninguna,
7228013,37800,3,-17.401221,-66.180013,2021-06-21 18:48:53.170783,ninguna,
7246961,37800,3,-17.398115,-66.183236,2021-06-21 18:48:53.170693,ninguna,
20480260,47461,3,-17.402091,-66.174677,2021-06-21 18:48:53.170604,ninguna,
7226961,37800,3,-17.398107,-66.175216,2021-06-21 18:48:53.170513,ninguna,
7238122,37800,3,-17.401491,-66.172675,2021-06-21 18:48:53.170423,ninguna,
20538374,47451,3,-17.404514,-66.165608,2021-06-21 18:48:53.170333,ninguna,
20480261,47461,3,-17.402786,-66.173482,2021-06-21 18:48:53.170242,ninguna,
7247063,37800,3,-17.402246,-66.172693,2021-06-21 18:48:53.170151,ninguna,
7273100,37800,3,-17.399637,-66.164183,2021-06-21 18:48:53.170061,ninguna,
7228009,37800,3,-17.401527,-66.17322,2021-06-21 18:48:53.169972,ninguna,
20495108,47460,3,-17.398092,-66.168071,2021-06-21 18:48:53.169882,ninguna,
20480262,47461,3,-17.398638,-66.180781,2021-06-21 18:48:53.169786,ninguna,
3128833,21000,1,-17.400642,-66.181609,2021-06-21 18:48:53.169697,ninguna,
10267142,44401,2,-17.399061,-66.183243,2021-06-21 18:48:53.169606,ninguna,
3078914,21000,1,-17.404036,-66.173668,2021-06-21 18:48:53.169515,ninguna,
